KNYSNA  - station [0014123 3]   -34.0590 23.0910 54 m ,yyyymmdd,Rainfall (mm) (24 hours),Temp (§ C),Rel Humidity (%),Wind Speed (m/s) ,,,
,19980605,0,18.7,64,1.2,,,
,19980606,13.8,13,89,6.5,,,
,19980607,13.4,10.3,85,4.4,,,
,19980608,0,15.6,60,2.5,,,
,19980609,0,21.5,49,0,,,
,19980610,0,17.6,71,4,,,
,19980611,0,19.2,70,1.4,,,
,19980612,0,19.1,64,1.4,,,
,19980613,0,20.9,58,1.3,,,
,19980614,0,19.6,58,2,,,
,19980615,0,22.6,41,0,,,
,19980616,0,20.7,66,1.8,,,
,19980617,0,16.9,81,2.1,,,
,19980618,0,18.9,75,1.2,,,
,19980619,1,17.2,71,5.3,,,
,19980620,0,15.1,71,2.2,,,
,19980621,0,20.3,51,2.8,,,
,19980622,0,20.6,58,2.8,,,
,19980623,0,19.3,68,2,,,
,19980624,0,19.3,68,1.5,,,
,19980625,0,22.9,65,0,,,
,19980626,1,19.4,57,1.5,,,
,19980627,0,15,60,8,,,
,19980628,0,17.4,64,3.5,,,
,19980629,0,23.9,48,1.2,,,
,19980630,0,18.5,69,1.7,,,
,19980701,0.2,19.2,63,1.8,,,
,19980702,0,15.5,71,3.5,,,
,19980703,1.8,15.7,59,8.9,,,
,19980704,0,17.5,45,5.7,,,
,19980705,0,19.1,49,4.6,,,
,19980706,5.4,16.9,69,3.1,,,
,19980707,0,17,53,6.2,,,
,19980708,2,18.3,47,6.2,,,
,19980709,5.2,15,62,6.1,,,
,19980710,0,15,77,1.5,,,
,19980711,0,17.6,56,1.7,,,
,19980712,0,19.7,46,2.8,,,
,19980713,0,20.4,66,0,,,
,19980714,0,28.7,25,1.8,,,
,19980715,0,19.1,55,1.7,,,
,19980716,0,18.9,66,2.7,,,
,19980717,0,17.7,69,2.7,,,
,19980718,0,19.6,59,1.5,,,
,19980719,3.6,14,93,2,,,
,19980720,94.4,13,92,0,,,
,19980721,13.4,12,90,3.9,,,
,19980722,0,15.7,64,2,,,
,19980723,0,17.1,60,1.5,,,
,19980724,0,18.1,66,1.4,,,
,19980725,0,21.9,57,0,,,
,19980726,0,18,72,1.7,,,
,19980727,0,29,37,1.5,,,
,19980728,3.4,13.3,89,5,,,
,19980729,0,15.4,57,2.7,,,
,19980730,0,18.1,60,1.8,,,
,19980731,0,19.8,66,1.6,,,
,19980801,0,26.7,47,0,,,
,19980802,0,28.4,41,1.3,,,
,19980803,5.4,18.8,79,1.7,,,
,19980804,3.6,13.4,78,3.2,,,
,19980805,9.8,11.7,88,0,,,
,19980806,2,14,92,0,,,
,19980807,0,15.4,67,4.9,,,
,19980808,0,18.5,47,2,,,
,19980809,0,18.8,66,3.3,,,
,19980810,0,22.7,64,1.9,,,
,19980811,0,18.8,77,2.2,,,
,19980812,4.6,18.3,78,2.3,,,
,19980813,6.2,15.3,67,4.1,,,
,19980814,13.2,17,56,7.6,,,
,19980815,0,14.1,60,6.5,,,
,19980816,0,16.8,58,2.1,,,
,19980817,0,16.7,79,3,,,
,19980818,0,16.9,69,3.2,,,
,19980819,0,19,70,1.5,,,
,19980820,0,18,81,3.3,,,
,19980821,2.6,15.2,68,6.3,,,
,19980822,17.6,11.6,85,3.1,,,
,19980823,36.4,10.3,91,4.6,,,
,19980824,0.6,15.8,73,2.1,,,
,19980825,0,18.4,50,1.5,,,
,19980826,0,18.6,65,3.8,,,
