KNYSNA  - station [0014123 3]   -34.0590 23.0910 54 m ,yyyymmdd,Rainfall (mm) (24 hours),Temp (§ C),Rel Humidity (%),Wind Speed (m/s) ,,,
,20011230,5,26.5,61,3.1,,,
,20011231,8.6,21.3,85,1.7,,,
,20020101,0.2,23.8,73,2.8,,,
,20020102,0,23.8,56,4.1,,,
,20020103,0,29.3,39,2.2,,,
,20020104,0,28.2,51,2.4,,,
,20020105,0,26,66,2.7,,,
,20020106,15,17,93,5.4,,,
,20020107,7.2,21.3,60,5.5,,,
,20020108,0,21.7,57,2.2,,,
,20020109,0,25.7,55,2,,,
,20020110,0,26.6,64,3,,,
,20020111,0.8,25.3,62,2.6,,,
,20020112,0,22.2,60,8.6,,,
,20020113,0,22.2,50,2.2,,,
,20020114,0,25.7,59,2.4,,,
,20020115,0,25.9,64,2.5,,,
,20020116,0,23,67,2.3,,,
,20020117,8.4,24.7,54,3.2,,,
,20020118,1,22.7,78,5.8,,,
,20020119,0,24.4,69,2.4,,,
,20020120,0,26,66,3.3,,,
,20020121,0,26.2,60,2.2,,,
,20020122,0,26.1,64,2.3,,,
,20020123,19.2,26.8,64,3,,,
,20020124,4.2,20.2,72,3.2,,,
,20020125,0,23.6,64,4.3,,,
,20020126,0,27.6,62,4.6,,,
,20020127,0,26.9,69,3.9,,,
,20020128,0,27.4,67,2.4,,,
,20020129,0,26.4,65,3.5,,,
,20020130,9,25.3,68,4.8,,,
,20020131,0,22.7,72,2.5,,,
,20020201,0,26.4,53,3.8,,,
,20020202,0,26.6,53,2.4,,,
,20020203,0.2,26.2,67,1.5,,,
,20020204,0,25.3,58,2.6,,,
,20020205,0,27,59,2.3,,,
,20020206,23.6,15.8,92,5.1,,,
,20020207,0,21.3,64,3.3,,,
,20020208,0,25.5,51,3.8,,,
,20020209,0,28.5,46,3.7,,,
,20020210,0,27.8,59,4.3,,,
,20020211,1.2,25.2,58,6.1,,,
,20020212,0,21,66,1.4,,,
,20020213,0,23,53,2.1,,,
,20020214,0,24.8,48,1.7,,,
,20020215,0,25.9,54,5.2,,,
,20020216,0,24.1,49,3.2,,,
,20020217,0,23.4,50,1.8,,,
,20020218,0,25.5,54,4.1,,,
,20020219,0,30.9,47,2.3,,,
,20020220,0,27.8,66,1.2,,,
,20020221,0,29,57,2,,,
,20020222,0,25.7,72,2.2,,,
,20020223,0,29.7,60,3.2,,,
,20020224,0.6,27.5,68,2,,,
,20020225,1,23.7,79,2.4,,,
,20020226,0,26.1,55,3.5,,,
,20020227,0,24.4,69,3,,,
,20020228,10,32.7,50,1.3,,,
,20020301,0,24.5,73,1.5,,,
,20020302,0,25,74,4,,,
,20020303,0,26.1,55,2.4,,,
,20020304,0,27.8,57,2.7,,,
,20020305,0,35.4,24,2.1,,,
,20020306,0.4,22.1,88,3.7,,,
,20020307,0,21.7,69,2.4,,,
,20020308,0,27.6,51,3.1,,,
,20020309,0,29.5,52,2.1,,,
,20020310,0,27.8,62,1.7,,,
,20020311,1,22.2,88,1.9,,,
,20020312,0,27.5,60,3.4,,,
,20020313,0,27.3,61,3.8,,,
,20020314,0,27.4,54,1.9,,,
,20020315,0,27.5,53,2.3,,,
,20020316,0,26.2,66,1.9,,,
,20020317,0.2,23.7,75,4.4,,,
,20020318,0.4,24.9,71,3.5,,,
,20020319,0.2,24,60,2.5,,,
,20020320,0,24.5,63,2.1,,,
,20020321,0,26.4,54,2.1,,,
,20020322,0,22.4,73,4.3,,,
,20020323,0,25.3,61,2.6,,,
,20020324,0,39,22,1.3,,,
,20020325,3.8,25.5,62,2.7,,,
,20020326,3,24.2,74,1.6,,,
,20020327,7.2,21.7,63,4.8,,,
,20020328,0.4,17.9,73,6.5,,,
,20020329,0,24.5,39,3,,,
,20020330,0,24.6,46,2.6,,,
,20020331,0,21.4,76,3,,,
,20020401,0,29.1,48,1.6,,,
,20020402,0,28,37,1.8,,,
,20020403,0,35.4,26,1.6,,,
,20020404,9,22.7,77,1.7,,,
,20020405,6.2,19,68,3.9,,,
,20020406,0,20.9,60,5.4,,,
,20020407,0,23,56,2.6,,,
,20020408,0,26.4,54,2.6,,,
,20020409,6.6,22.1,62,2.1,,,
,20020410,0,17.9,76,1.8,,,
,20020411,0,24.9,58,1.8,,,
,20020412,0,26.7,44,2,,,
,20020413,12.4,20.5,85,1.6,,,
,20020414,0,22.3,77,3.1,,,
,20020415,0,24.7,68,3.4,,,
,20020416,0,26.7,65,1.7,,,
,20020417,4,20,79,4,,,
,20020418,0,22.5,67,2.7,,,
,20020419,0,26.1,45,2.3,,,
,20020420,0,25.8,48,3.2,,,
,20020421,0,22.2,75,3.8,,,
,20020422,0,21.2,73,1.9,,,
,20020423,1.6,26.3,55,2,,,
,20020424,17.4,19,94,2.1,,,
,20020425,0,23.6,69,1.9,,,
,20020426,0,19.5,86,1.8,,,
,20020427,0,25.3,70,1.7,,,
,20020428,2.8,19.4,86,2.8,,,
,20020429,3.2,16.5,85,2.8,,,
,20020430,0,18.4,66,2.4,,,
,20020501,0,23.4,56,2,,,
,20020502,0,22.7,61,0,,,
,20020503,0,21.3,76,2.4,,,
,20020504,0,23.9,69,1.8,,,
,20020505,10.8,16.2,83,5.2,,,
,20020506,31.6,10.1,89,7.6,,,
,20020507,6.2,15.1,84,5.1,,,
,20020508,0,17.8,63,1.9,,,
,20020509,0,20.8,65,5.3,,,
,20020510,0,18,73,1.8,,,
,20020511,0,17.6,80,1.2,,,
,20020512,0,21,65,4,,,
,20020513,0,20.4,72,1.6,,,
,20020514,0,19.1,69,1.9,,,
,20020515,0,23.2,68,1.6,,,
,20020516,0,24.9,43,3.7,,,
,20020517,0,21.8,65,2,,,
,20020518,0,21.2,70,2.1,,,
,20020519,0,24.7,69,1.5,,,
,20020520,0,31.3,25,1.1,,,
,20020521,3,28.3,38,1.7,,,
,20020522,3.6,19.8,86,2,,,
,20020523,0.4,18.8,72,5.9,,,
,20020524,0,26.1,37,6.5,,,
,20020525,0,18.3,68,3.4,,,
,20020526,0,18.1,67,2.7,,,
,20020527,0,21.6,58,1.4,,,
,20020528,3.4,19.7,70,0,,,
,20020529,2.4,13.1,79,3.7,,,
,20020530,0,16.5,55,3,,,
,20020531,18.2,19.2,44,1.5,,,
,20020601,1.2,14.8,57,4.3,,,
,20020602,0,16.1,57,1.5,,,
,20020603,0,19.1,52,1.2,,,
,20020604,0,21.8,46,2,,,
,20020605,0,27.2,36,2.4,,,
,20020606,0.8,13.3,78,4.8,,,
,20020607,0.4,15.8,68,1.3,,,
,20020608,1.6,13.5,73,7.2,,,
,20020609,0,18.1,68,5,,,
,20020610,0,22.6,57,1.1,,,
,20020611,0,20.9,72,0,,,
,20020612,4.8,30.3,24,2.3,,,
,20020613,8.4,17.5,80,1.7,,,
,20020614,0,18.6,76,3.2,,,
,20020615,0.4,18.1,72,2,,,
,20020616,0.2,17.4,62,2,,,
,20020617,0,21.1,58,1.2,,,
,20020618,0,18.8,71,4.5,,,
,20020619,0,16.7,62,4.9,,,
,20020620,0,16.5,71,2,,,
,20020621,0,23,51,0,,,
,20020622,2.4,19.2,75,5,,,
,20020623,17.6,15,66,3.5,,,
,20020624,0,15.2,77,5.5,,,
,20020625,0,16.4,77,2,,,
,20020626,12,16.6,76,7.1,,,
,20020627,0,15,58,2.5,,,
,20020628,0,16.5,60,5.9,,,
,20020629,0,16.4,67,5.1,,,
,20020630,0,17.2,68,2,,,
,20020701,0,17.8,75,2,,,
,20020702,0,17.3,81,1.8,,,
,20020703,0,20.3,66,0,,,
,20020704,0,15.6,80,2.8,,,
,20020705,0,16.4,78,1.6,,,
,20020706,0,16.4,79,1.4,,,
,20020707,0,18.5,64,2.2,,,
,20020708,4,15.6,87,1.6,,,
,20020709,18.4,12.1,92,12.3,,,
,20020710,0.2,14.8,68,5.6,,,
,20020711,0,18,72,2.7,,,
,20020712,0,18.5,68,3.3,,,
,20020713,0,19.6,71,3.3,,,
,20020714,0.4,16.5,71,2.1,,,
,20020715,2.8,15.6,53,5.6,,,
,20020716,51.6,10.9,79,7,,,
,20020717,24,13,98,2.1,,,
,20020718,0,15.1,85,1.3,,,
,20020719,0,17.9,68,2.2,,,
,20020720,0,19.5,64,2.8,,,
,20020721,0,21,49,1.7,,,
,20020722,0,25.4,42,1.4,,,
,20020723,0.2,22.1,41,1.4,,,
,20020724,1.8,14.7,81,4.1,,,
,20020725,0,19.1,58,5.5,,,
,20020726,0,18.2,73,1.9,,,
,20020727,0,15.8,71,7.2,,,
,20020728,0,18.5,48,1.7,,,
,20020729,11,15,71,7.5,,,
,20020730,0.4,11.6,71,8.5,,,
,20020731,0,16.7,53,3,,,
,20020801,0,27.3,29,1.3,,,
,20020802,1.2,19.6,39,6,,,
,20020803,0.4,13.9,66,4.6,,,
,20020804,0,15.4,60,2.4,,,
,20020805,0,18.7,49,2.2,,,
,20020806,0,18.2,75,3.7,,,
,20020807,0,19.3,70,2.1,,,
,20020808,0,22.4,50,1.3,,,
,20020809,0,24.1,61,0,,,
,20020810,0,29.4,45,0,,,
,20020811,0,33.2,19,1.8,,,
,20020812,0,20.6,42,6.2,,,
,20020813,0.6,17.6,45,7.6,,,
,20020814,25,12,93,3.8,,,
,20020815,45.6,12.2,97,1.1,,,
,20020816,13,15.4,76,2,,,
,20020817,2.4,16.4,67,2.5,,,
,20020818,6.4,14.1,92,2.6,,,
,20020819,0,16.5,82,0,,,
,20020820,0,23.1,66,2.4,,,
,20020821,0,30.2,27,1.5,,,
,20020822,0,16.9,84,1.5,,,
,20020823,10,18.5,75,0,,,
,20020824,2.2,16.6,82,2.7,,,
,20020825,0,16.9,79,2.9,,,
,20020826,3.6,20,66,1.9,,,
,20020827,0.4,15.3,79,1.3,,,
,20020828,0,19.6,81,1.8,,,
,20020829,8.2,18.6,67,1.8,,,
,20020830,8.4,13.1,68,5.7,,,
,20020831,0,17.1,51,1.6,,,
,20020901,0,20.1,66,3.9,,,
,20020902,0.4,19.6,75,2.1,,,
,20020903,9.8,14.2,95,1.8,,,
,20020904,9.8,13.3,93,2.4,,,
,20020905,0,17.2,77,1.6,,,
,20020906,0,19.5,67,3.2,,,
,20020907,0,24.8,53,1.4,,,
,20020908,2,18.4,66,2,,,
,20020909,59.6,11.5,99,3.2,,,
,20020910,10.4,13.8,89,1.8,,,
,20020911,0.8,14.5,94,2.2,,,
,20020912,0,19.5,75,2.2,,,
,20020913,0,20.6,69,5.4,,,
,20020914,0,31.6,27,3.1,,,
,20020915,0,20.8,63,2.4,,,
,20020916,0,29.5,48,1.2,,,
,20020917,0,20.6,76,2.3,,,
,20020918,0,21,82,1.4,,,
,20020919,0,20.2,81,1.7,,,
,20020920,0,20.2,72,2.2,,,
,20020921,4.2,20.5,73,1.9,,,
,20020922,0.6,17.7,70,1.4,,,
,20020923,0,18.7,70,2.2,,,
,20020924,0,19.1,73,2.1,,,
,20020925,0,21.2,73,3.3,,,
,20020926,0,19.1,76,3.3,,,
,20020927,0,21.4,75,2.2,,,
,20020928,10.6,21.6,60,2.4,,,
,20020929,0,18.6,68,2.1,,,
,20020930,0.8,30.1,35,2.1,,,
,20021001,0,17.6,64,7.5,,,
,20021002,2.6,16.9,67,1.8,,,
,20021003,2,14.5,65,11.6,,,
,20021004,0,18.2,54,4.2,,,
,20021005,0,19.6,62,3.5,,,
,20021006,0,19.5,67,3,,,
,20021007,0,19.2,65,3.4,,,
,20021008,0,19.7,63,4,,,
,20021009,0,29.3,35,1.9,,,
,20021010,0,21.7,68,1.7,,,
,20021011,0,21.3,74,1.9,,,
,20021012,2.6,21,84,1.6,,,
,20021013,2.4,17.3,92,1.2,,,
,20021014,0,17.2,76,3.7,,,
,20021015,0,23.7,65,2.7,,,
,20021016,0,21.2,69,2,,,
,20021017,0,20.9,78,2.8,,,
,20021018,17.4,14.1,96,7,,,
,20021019,0,17.7,66,3,,,
,20021020,0,24.4,53,2.2,,,
,20021021,0,20.3,72,2.9,,,
,20021022,0,28.6,49,1.6,,,
,20021023,0,16.4,78,5.8,,,
,20021024,0,18.6,61,5.6,,,
,20021025,0,19.7,63,2.5,,,
,20021026,0,19.3,78,1.9,,,
,20021027,3.8,18.9,75,2.8,,,
,20021028,0.6,20.7,81,2.4,,,
,20021029,0.6,17.1,61,5.8,,,
,20021030,0,18.6,59,2.5,,,
,20021031,0,21.7,70,2.3,,,
,20021101,1.2,26.9,60,1.7,,,
,20021102,1.6,20.8,84,1.9,,,
,20021103,10.8,20.9,73,2.5,,,
,20021104,22,11.8,94,5.6,,,
,20021105,17.6,12.3,84,3.6,,,
,20021106,0,18.7,63,2.1,,,
,20021107,0,26.7,42,1.5,,,
,20021108,17,20.3,75,3.5,,,
,20021109,3.6,17.1,67,5.9,,,
,20021110,0,18.7,68,1.9,,,
,20021111,0,25.1,49,2.5,,,
,20021112,0,32.4,30,2.3,,,
,20021113,25,20.4,74,3.9,,,
,20021114,0.2,18.4,75,1.8,,,
,20021115,0,24.7,62,2.2,,,
,20021116,1.2,20,72,2.8,,,
,20021117,0,20.3,68,1.9,,,
,20021118,0,20.9,74,2.1,,,
,20021119,0,22.5,75,2.1,,,
,20021120,0,19.1,66,5,,,
,20021121,0,24.3,60,2.8,,,
,20021122,6.8,21.5,73,2.2,,,
,20021123,18.4,16.6,69,3.2,,,
,20021124,0,18.8,61,3.5,,,
,20021125,0,20.9,63,2.4,,,
,20021126,0,23.1,61,4.1,,,
,20021127,0,25.7,68,1.2,,,
,20021128,0.2,18.6,79,5.3,,,
,20021129,0,19.4,58,2.3,,,
,20021130,0,24.2,67,2.3,,,
,20021201,2.8,23.1,75,3.3,,,
,20021202,0.4,23.5,75,2.6,,,
,20021203,0.4,21.8,87,2.2,,,
,20021204,0,26.5,66,2.5,,,
,20021205,0,26.5,68,3.3,,,
,20021206,0,28,63,4.7,,,
,20021207,0,39.9,25,2.1,,,
,20021208,6.8,25.1,74,4.9,,,
,20021209,0.8,19.9,82,4,,,
,20021210,0,23,62,4.9,,,
,20021211,21.2,27.6,54,1.5,,,
,20021212,0.4,24.1,80,1.7,,,
,20021213,0,23.3,76,2.4,,,
,20021214,4.2,24.2,74,2,,,
,20021215,0,20.8,75,1.4,,,
,20021216,0,25.1,66,2.6,,,
,20021217,0,19.7,81,4.4,,,
,20021218,0,20.9,58,1.9,,,
,20021219,0,22.3,73,2.4,,,
,20021220,0,24.6,79,3.7,,,
,20021221,3.4,25.9,76,2.3,,,
,20021222,27.8,20.6,97,4.7,,,
,20021223,1,23.7,88,3.7,,,
,20021224,0.2,24,86,2.6,,,
,20021225,1,22.5,82,3.7,,,
,20021226,0,22.1,67,2.6,,,
,20021227,0,21.9,71,3.4,,,
,20021228,0,25.5,71,2.7,,,
,20021229,0,25.3,71,1.9,,,
,20021230,0,25.2,71,3.1,,,
,20021231,0,24.5,66,2.4,,,
,20030101,0,32.1,44,2.3,,,
,20030102,0,26.5,71,3.8,,,
,20030103,3,25,71,2.8,,,
,20030104,0,21.7,71,2.6,,,
,20030105,0,26.5,54,2.7,,,
,20030106,8.6,25.3,75,4,,,
,20030107,2.4,20.1,98,2.1,,,
,20030108,10.4,21.6,96,4.4,,,
,20030109,0.2,20,71,2.1,,,
,20030110,0,26.7,56,3.2,,,
,20030111,0,26.3,69,3.1,,,
,20030112,0,26,69,2.4,,,
,20030113,3.4,22.2,80,3.9,,,
,20030114,0,25.6,69,2.4,,,
,20030115,2.6,28.1,56,1.7,,,
,20030116,9.6,19.1,90,2.3,,,
,20030117,0,24.7,62,2.3,,,
,20030118,0,24.1,74,2,,,
,20030119,0.6,22.4,87,1.8,,,
,20030120,0,19.9,71,5.2,,,
,20030121,0,21.7,61,2.7,,,
,20030122,0,23,67,3.4,,,
,20030123,0,22.5,69,1.5,,,
,20030124,0,26.3,61,1.6,,,
,20030125,4.8,25.6,67,3.8,,,
,20030126,0,24.1,64,1.8,,,
,20030127,0,30.3,47,3.5,,,
,20030128,0,25.7,80,1.6,,,
,20030129,0,26.9,78,1.9,,,
,20030130,0,23.2,58,5.1,,,
,20030131,0,24.4,63,3.3,,,
,20030201,0,25.6,59,2.4,,,
,20030202,0,24.1,74,1.4,,,
,20030203,0,28.1,66,2.1,,,
,20030204,0,26,77,2,,,
,20030205,0,28.5,69,2.3,,,
,20030206,0,29.1,67,1.9,,,
,20030207,16.6,28.7,71,2.3,,,
,20030208,24.8,19,91,2.5,,,
,20030209,0,24.4,58,2.7,,,
,20030210,0,29,50,5.6,,,
,20030211,0,28.2,54,5.2,,,
,20030212,0,26.9,69,3,,,
,20030213,0,25.6,72,2.8,,,
,20030214,0,27.1,64,6,,,
,20030215,0,22.4,69,2.2,,,
,20030216,0,25.1,67,2.4,,,
,20030217,0,25.3,65,2.6,,,
,20030218,0.2,22.6,84,3.3,,,
,20030219,2,23.1,71,2.4,,,
,20030220,0,21.2,69,3.6,,,
,20030221,0,23,61,2.9,,,
,20030222,0,24,67,2.7,,,
,20030223,0,23.4,80,3,,,
,20030224,0,24.9,62,4.2,,,
,20030225,0,28.3,59,2.1,,,
,20030226,0,36.8,32,1.5,,,
,20030227,0,26.8,64,2.9,,,
,20030228,0,24.3,68,2.4,,,
,20030301,0,26.7,60,2.6,,,
,20030302,0.4,27.3,62,3.2,,,
,20030303,1.8,21.6,85,1.7,,,
,20030304,0,25.6,66,2.4,,,
,20030305,0,24.9,77,1.8,,,
,20030306,0,29.3,53,2.4,,,
,20030307,0,26.5,67,2.2,,,
,20030308,0,31.1,37,3.4,,,
,20030309,0,24.6,72,4.3,,,
,20030310,0,24.7,69,3.9,,,
,20030311,0,28.4,61,2.2,,,
,20030312,0,28.1,63,2.3,,,
,20030313,0.6,25.3,51,5.8,,,
,20030314,0,24,51,2.8,,,
,20030315,10.6,23.6,68,4.9,,,
,20030316,0.6,22.3,70,1.7,,,
,20030317,1.6,25.9,58,2.4,,,
,20030318,43.4,21.2,85,3.2,,,
,20030319,1,21.1,56,4,,,
,20030320,1,21,77,3.3,,,
,20030321,0,24.7,68,3,,,
,20030322,26.8,18.1,93,4.1,,,
,20030323,29.6,16,83,1.3,,,
,20030324,84.8,18.5,76,6,,,
,20030325,24.8,17.7,94,5.1,,,
,20030326,0,21.7,74,2,,,
,20030327,0,25,71,2.3,,,
,20030328,0,23.3,75,2.2,,,
,20030329,0,27.2,62,2.3,,,
,20030330,1.4,20.5,85,1.9,,,
,20030331,0,21.5,72,3.1,,,
,20030401,0,25,68,2.8,,,
,20030402,2.8,23.9,77,4.3,,,
,20030403,0.8,21.2,85,2.8,,,
,20030404,1.8,20.8,77,3.8,,,
,20030405,0,27.4,57,1.5,,,
,20030406,0,21,86,2.9,,,
,20030407,0,23.3,81,4.7,,,
,20030408,3,21.3,81,3.8,,,
,20030409,3.8,15.5,93,3.8,,,
,20030410,0,20,62,2.1,,,
,20030411,0,29.2,31,1.7,,,
,20030412,27.8,21.5,77,2.5,,,
,20030413,25,16.3,96,2.2,,,
,20030414,0,23.9,64,2.9,,,
,20030415,0,27.9,51,1.4,,,
,20030416,0,24.5,68,2.2,,,
,20030417,0,25.1,71,1.1,,,
,20030418,0,26.3,61,1.5,,,
,20030419,0,21.9,83,1.8,,,
,20030420,0,21.2,82,1.6,,,
,20030421,0.2,19.9,87,2.7,,,
,20030422,19.2,15.7,96,1.9,,,
,20030423,0,19.4,66,2.2,,,
,20030424,0,20.6,68,1.8,,,
,20030425,0,21.9,67,2.1,,,
,20030426,0,21.5,72,1.8,,,
,20030427,0,23,73,2.4,,,
,20030428,11.6,20.1,94,1.3,,,
,20030429,0,22.6,66,4.6,,,
,20030430,0.4,20.4,81,4.4,,,
,20030501,0,19.9,71,1.8,,,
,20030502,0,22.2,63,2.2,,,
,20030503,4.8,19.8,80,3.1,,,
,20030504,11.6,17.2,79,5.1,,,
,20030505,0.2,19.4,63,4.8,,,
,20030506,0,22,70,1.9,,,
,20030507,0,27.3,58,1.5,,,
,20030508,0,32.7,32,1.2,,,
,20030509,9.8,16.5,89,3.4,,,
,20030510,34.8,12.4,96,1.7,,,
,20030511,15.8,18.8,85,1.3,,,
,20030512,4.4,19.1,78,4.7,,,
,20030513,0.2,18.5,66,2.4,,,
,20030514,0,20.6,67,1.8,,,
,20030515,0,24.9,61,1.4,,,
,20030516,0,20.7,79,3.7,,,
,20030517,8.8,16.7,91,2.8,,,
,20030518,0,19.7,67,2.8,,,
,20030519,0,19.8,79,1.9,,,
,20030520,0,29,56,0,,,
,20030521,0,26.5,50,1.3,,,
,20030522,9.8,30.6,28,1.1,,,
,20030523,0.6,21.1,70,1.4,,,
,20030524,0,19.9,80,2.1,,,
,20030525,20.4,19.8,75,1.5,,,
,20030526,37.2,12.3,92,5.9,,,
,20030527,0.4,15.3,76,5.8,,,
,20030528,0,19.1,61,2.4,,,
,20030529,0.8,18.4,83,2,,,
,20030530,0,18.2,78,2.8,,,
,20030531,0,19.8,71,2.5,,,
,20030601,0,20.1,78,1.8,,,
,20030602,2.8,22,56,3.3,,,
,20030603,2.4,15.3,71,4.3,,,
,20030604,12.2,12.4,81,2.5,,,
,20030605,4.6,13.5,78,0,,,
,20030606,10.6,15.5,87,2.9,,,
,20030607,0.2,17.6,70,1.8,,,
,20030608,48.2,16.2,68,5.4,,,
,20030609,0.2,15,77,1.3,,,
,20030610,0,17.8,54,1.2,,,
,20030611,0,18.9,64,1.3,,,
,20030612,0,22.6,48,0,,,
,20030613,0,19.6,63,5,,,
,20030614,5.2,19.7,58,4,,,
,20030615,0.2,17.7,79,2.5,,,
,20030616,0.4,26.5,37,2.9,,,
,20030617,0,17.3,63,1.6,,,
,20030618,0,18.3,69,1.6,,,
,20030619,0,20.5,61,2,,,
,20030620,0,23.8,65,0,,,
,20030621,1,16.8,83,2.4,,,
,20030622,0,15.8,84,1.7,,,
,20030623,0.6,18.7,61,5.3,,,
,20030624,0,16.5,80,2,,,
,20030625,0,19.9,60,1.4,,,
,20030626,0,18.7,63,1.1,,,
,20030627,0,19.6,74,1.1,,,
,20030628,0,22.2,53,0,,,
,20030629,0,23.7,50,0,,,
,20030630,0,23.1,44,0,,,
,20030701,35,20.2,44,3.2,,,
,20030702,2.4,12.1,87,1.8,,,
,20030703,0,15.6,51,3.5,,,
,20030704,2.4,13.6,82,2,,,
,20030705,0,16.3,47,2.6,,,
,20030706,0,22,54,0,,,
,20030707,0,28.1,29,2.6,,,
,20030708,0,16.9,79,1.7,,,
,20030709,0,25.8,26,4.9,,,
,20030710,0.6,13.9,85,2.1,,,
,20030711,0,16.2,57,5.4,,,
,20030712,0,15.3,64,1.6,,,
,20030713,0,15.5,70,2.3,,,
,20030714,0,17.8,73,1.7,,,
,20030715,0,22.4,62,0,,,
,20030716,0,24.5,38,1.1,,,
,20030717,0,30.1,21,3.5,,,
,20030718,3.4,13.6,82,4.2,,,
,20030719,0.4,15.7,61,5.9,,,
,20030720,0,12.8,84,1.5,,,
,20030721,0,16.9,69,1.4,,,
,20030722,0,15.7,80,1.6,,,
,20030723,0,18.1,66,2,,,
,20030724,2.4,13.4,86,2.5,,,
,20030725,0,15.9,57,4.5,,,
,20030726,0,19.8,52,0,,,
,20030727,0,19.4,56,1.6,,,
,20030728,0,14.3,86,3.3,,,
,20030729,0,23.9,64,1.3,,,
,20030730,0,26.7,23,1.9,,,
,20030731,0,21.7,58,1.7,,,
,20030801,10.8,17.8,65,2.1,,,
,20030802,0,14.7,69,2.9,,,
,20030803,0,18.9,52,1.8,,,
,20030804,6.8,11.4,91,3.3,,,
,20030805,0,15.2,68,2.1,,,
,20030806,0,20.2,42,1.4,,,
,20030807,0,30.4,28,1.6,,,
,20030808,7,20.2,53,2.3,,,
,20030809,2.4,15.4,68,4,,,
,20030810,0,13.7,58,6.8,,,
,20030811,0,13,71,1.8,,,
,20030812,0,14.5,53,3.1,,,
,20030813,0,16.9,61,2.5,,,
,20030814,0,18.3,53,2.8,,,
,20030815,0,18.5,62,1.7,,,
,20030816,0,17.3,68,4,,,
,20030817,0,18.3,73,2.1,,,
,20030818,10.2,21,53,1.7,,,
,20030819,0.2,8.8,68,9.9,,,
,20030820,11.4,10.3,76,5.8,,,
,20030821,0,14.2,58,2.2,,,
,20030822,0,20.2,30,2,,,
,20030823,0,25.4,21,1.8,,,
,20030824,0,14.2,82,6.3,,,
,20030825,16.8,18.1,43,5,,,
,20030826,0.2,15.5,57,5.6,,,
,20030827,0,18.8,56,4.6,,,
,20030828,2.2,18.7,65,5,,,
,20030829,0.2,16.7,68,2.2,,,
,20030830,0,18.8,61,1.6,,,
,20030831,0,17.1,77,3.7,,,
,20030901,0,20.7,49,2.3,,,
,20030902,0,17.2,61,2.8,,,
,20030903,0,19,52,4.3,,,
,20030904,1.2,16.7,69,3.2,,,
,20030905,5.6,15.2,76,2.5,,,
,20030906,0,19.7,58,1.9,,,
,20030907,0,21.6,44,4,,,
,20030908,0,18.9,62,2.6,,,
,20030909,0.2,21.7,50,5.3,,,
,20030910,0,17.9,66,3.7,,,
,20030911,0,19.6,50,3.1,,,
,20030912,17.2,14.6,85,2.8,,,
,20030913,2.8,12.1,86,2.8,,,
,20030914,0,18.5,54,3.5,,,
,20030915,0,19,71,2,,,
,20030916,0,22.1,70,2.1,,,
,20030917,1.4,15.9,90,1.1,,,
,20030918,0,19.2,67,3.7,,,
,20030919,0.6,17.6,56,3.1,,,
,20030920,0,16.6,59,5.7,,,
,20030921,1.6,15.7,68,4.9,,,
,20030922,0,17.1,55,2.3,,,
,20030923,0,19.1,68,2,,,
,20030924,0,17.4,81,3.3,,,
,20030925,0,19.6,65,1.7,,,
,20030926,0,22.5,66,1.5,,,
,20030927,1.2,21.7,63,1.8,,,
,20030928,0,19.2,68,3.6,,,
,20030929,0,22.4,58,3.2,,,
,20030930,0,20.8,70,2.7,,,
,20031001,0,20.3,60,2.3,,,
,20031002,0,19.7,62,2.7,,,
,20031003,0,18.6,72,2,,,
,20031004,0,22.5,61,2.1,,,
,20031005,1.8,21.6,54,4.1,,,
,20031006,0.4,18.8,70,2.8,,,
,20031007,1.2,19.2,64,3.3,,,
,20031008,0,17.6,78,3.9,,,
,20031009,0,21.6,65,2,,,
,20031010,0,19.6,79,2.5,,,
,20031011,0,22.8,66,4,,,
,20031012,0,23.3,72,1.7,,,
,20031013,18.6,22.4,78,1.5,,,
,20031014,0.4,17.7,86,5.3,,,
,20031015,1.2,19.5,72,1.9,,,
,20031016,20,17,72,9.1,,,
,20031017,2.6,16.4,63,2.1,,,
,20031018,0,18.6,58,2.7,,,
,20031019,0,20.6,52,2.3,,,
,20031020,0,25.3,50,2.3,,,
,20031021,0,31.4,28,1.8,,,
,20031022,0,18.8,74,2.5,,,
,20031023,0,19.5,71,2.5,,,
,20031024,0,20,70,5,,,
,20031025,4.8,21.9,55,2.1,,,
,20031026,0,19.7,65,6.5,,,
,20031027,0,20.7,63,3.6,,,
,20031028,0,24.9,66,2.1,,,
,20031029,0,25.2,70,3.7,,,
,20031030,0,20,77,3.2,,,
,20031031,6.6,18.4,90,0.7,,,
,20031101,2.6,16.3,93,1.9,,,
,20031102,0,19.3,74,2.1,,,
,20031103,0,22,63,2.6,,,
,20031104,5,20.4,73,2.8,,,
,20031105,3.6,17.7,84,3.9,,,
,20031106,0.6,20.1,60,2.3,,,
,20031107,0,30.4,40,1.5,,,
,20031108,0,22.2,74,4.2,,,
,20031109,0,21.8,66,3.4,,,
,20031110,0.6,21.3,58,2.5,,,
,20031111,0.2,20.7,67,3,,,
,20031112,0,20.7,56,2.3,,,
,20031113,0,30.2,41,2.2,,,
,20031114,5,22.5,64,5.3,,,
,20031115,0,19.9,62,2.8,,,
,20031116,0,22.9,68,2.6,,,
,20031117,0.2,24.1,68,2.4,,,
,20031118,0,19.8,62,2.8,,,
,20031119,0,25.5,50,2.1,,,
