Station,Time,Date,Rainfall (mm) (24 hours),Temp (º C),Rel Humidity (%),Wind Speed (m/s) 
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970212,1.6,19.7,69,5.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970213,1.2,19.1,63,3.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970214,0,21.7,65,3.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970215,0,25.3,51,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970216,5.8,21.7,67,4.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970217,0,21.1,69,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970218,2,21.8,72,3.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970219,0,23.2,59,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970220,0,23.1,72,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970221,4.8,24.3,60,4.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970222,4.2,18.1,82,6.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970223,0.2,20.4,66,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970224,0,22.6,66,4.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970225,10.4,21.7,78,2.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970226,0,17.7,53,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970227,0,18.9,52,4.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970228,0,20.6,62,7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970301,0,19.7,74,7.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970302,0,18.8,84,6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970303,0,19.9,84,3.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970304,0,17.5,60,2.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970305,4.2,19,77,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970306,0,19.6,84,2.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970307,0,23.9,64,2.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970308,0.6,21.2,70,4.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970309,0,22.1,69,5.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970310,3.6,19,72,4.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970311,0,17.1,59,5.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970312,0,21,61,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970313,0,20.3,73,3.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970314,0,23.1,70,5.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970315,0.6,25.3,66,1.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970316,11.6,29,49,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970317,0,26,63,2.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970318,0,23.7,68,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970319,32,19.9,91,5.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970320,3.4,19.7,86,5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970321,0,20.7,69,3.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970322,0,21,86,3.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970323,0,20.9,77,5.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970324,0.4,20.5,87,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970325,3.6,19,91,2.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970326,0,21.8,76,6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970327,0,22.2,78,4.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970328,0,19.1,88,3.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970329,1.4,20.6,84,6.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970330,12.6,18.6,89,4.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970331,0,18.1,78,8.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970401,0,18.9,81,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970402,12.6,16.5,91,2.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970403,13.6,17.1,91,5.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970404,0,19.3,87,4.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970405,22.4,18,77,6.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970406,24.4,12.1,92,8.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970407,0.6,14.9,91,5.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970408,0,17.9,75,4.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970409,0,17.7,91,1.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970410,0,21.9,73,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970411,0,21.2,83,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970412,0,23.1,70,2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970413,0,20.4,79,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970414,0,19.8,82,3.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970415,0,20.5,83,3.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970416,0,17.5,89,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970417,0,18.6,81,4.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970418,0,17.4,85,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970419,0,19.3,86,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970420,0,18.4,81,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970421,0,20.7,76,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970422,0,17.4,88,4.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970423,0.2,18.4,82,6.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970424,0,17.3,81,4.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970425,0,19.1,75,2.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970426,0,16.9,89,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970427,8.4,16,79,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970428,1,13.5,89,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970429,0.2,16.8,67,5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970430,0,19.3,54,1.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970501,3,18.4,81,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970502,9.8,18.3,84,4.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970503,0,17.2,85,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970504,0,17.9,76,3.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970505,0,19,79,6.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970506,0,24.3,57,1.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970507,0,17.1,86,5.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970508,0,20,75,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970509,0,23,56,2.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970510,0,17.2,87,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970511,0,22.2,53,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970512,0,21.2,51,3.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970513,0,18.4,86,5.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970514,3.8,19.7,69,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970515,0,18.3,71,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970516,0,26.3,40,2.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970517,0,20.3,52,4.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970518,0,25.4,34,1.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970519,0,20,61,2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970520,0,16.9,51,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970521,0,18.4,59,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970522,0,18.5,77,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970523,1,28.5,33,8.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970524,0,15.5,92,3.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970525,4.4,16.9,90,2.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970526,31.6,18.3,79,5.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970527,25.6,13.4,82,8.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970528,6,12.8,86,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970529,0,16,65,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970530,0,18.5,64,2.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970531,0,18.3,49,1.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970601,0.8,16.3,79,4.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970602,1.6,15.2,90,2.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970603,0,17.1,63,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970604,0,16.2,74,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970605,0,17.3,72,4.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970606,0,18.5,59,5.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970607,0,18.5,67,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970608,1.6,15.4,85,6.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970609,7.2,13.9,86,3.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970610,5,14.1,78,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970611,13.2,12.2,92,1.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970612,6.8,14.2,89,4.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970613,0,14.6,86,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970614,2.4,15.3,76,5.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970615,0.2,16,80,5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970616,0.6,16.5,70,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970617,3.4,11.6,84,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970618,0,13.5,66,2.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970619,0,14.5,65,2.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970620,0,15.9,50,3.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970621,0,27.3,26,7.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970622,0,16.3,77,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970623,0,15,63,2.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970624,0,16,65,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970625,0,14.3,72,5.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970626,0,16.7,61,1.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970627,0,21.8,50,6.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970628,17.8,13.6,79,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970629,32.2,10,92,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970630,0,14.3,64,1.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970701,0.2,16.1,59,3.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970702,0.2,15.2,70,5.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970703,0,15.2,83,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970704,5,14.2,73,7.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970705,4,14.3,71,5.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970706,0,15.5,78,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970707,0,18.5,44,1.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970708,0,25.1,34,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970709,0,21.2,44,1.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970710,0,23.8,40,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970711,0,15.3,89,5.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970712,0,17.2,78,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970713,0,17.5,87,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970714,0,25.6,35,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970715,0,25.3,24,4.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970716,9,17.1,84,7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970717,11.8,12.8,92,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970718,0,17,76,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970719,4.6,18.1,77,1.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970720,1,15.6,84,4.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970721,0,15.9,92,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970722,0,16.2,92,5.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970723,0,16.7,66,3.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970724,4.6,15,79,5.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970725,0,14.4,65,6.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970726,0,13.7,71,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970727,1.2,14.6,70,4.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970728,0,14,85,3.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970729,0,16.4,76,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970730,0,18.7,48,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970731,0,18.7,67,1.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970801,2,25.8,42,1.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970802,0,14.9,67,6.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970803,2.6,16.6,71,2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970804,0.6,13.3,85,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970805,10.8,13.4,92,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970806,22.4,21.5,45,7.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970807,0,13.5,66,3.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970808,0,17,65,5.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970809,0,14.8,82,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970810,1.6,15.7,80,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970811,0,15,79,3.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970812,0,18.2,56,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970813,0,17.2,72,3.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970814,0,17.4,86,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970815,0,18,84,1.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970816,0,16.7,89,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970817,0,17.6,63,5.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970818,0,17.3,84,3.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970819,6.4,18.8,71,5.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970820,0,14.9,85,2.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970821,0,18.6,67,7.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970822,0.8,17.8,76,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970823,0.2,16.3,81,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970824,0,18.8,76,3.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970825,3,16.3,90,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970826,11.6,12.9,92,7.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970827,0.2,15.6,92,3.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970828,0.2,16.8,92,7.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970829,0,18.8,60,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970830,0,17.7,69,3.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970831,0.2,16.5,84,6.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970901,0,17.3,83,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970902,0,23.9,41,3.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970903,0,15.9,82,5.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970904,0,16.6,77,6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970905,0,16.6,83,3.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970906,2.4,17.1,74,4.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970907,17.8,13,84,5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970908,3,13.4,85,7.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970909,0,16.3,70,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970910,0,16.3,88,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970911,0,19.1,84,5.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970912,0,26.5,46,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970913,0,26.4,58,1.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970914,0,26.4,42,2.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970915,7.4,19.5,89,5.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970916,3,13.8,92,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970917,0,16.6,81,6.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970918,0,18.1,70,7.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970919,0,17.8,79,4.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970920,0,16.9,60,5.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970921,0,15.5,75,5.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970922,0,17.4,78,4.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970923,0,18,79,5.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970924,0,20.6,69,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970925,0,18.3,79,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970926,0,23.4,55,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970927,0,17.4,73,3.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970928,0.8,19.5,46,2.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970929,0.8,18.2,78,2.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19970930,0,19.8,66,5.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971001,0,19.2,78,7.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971002,0,21.2,67,8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971003,0,25.1,40,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971004,0,21.7,62,4.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971005,5.8,16,89,3.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971006,9.8,18.9,58,6.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971007,0.2,13,76,4.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971008,0,15,72,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971009,0,17.7,69,6.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971010,0.4,23.8,48,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971011,0,17.6,69,6.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971012,0,17.1,63,3.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971013,0,18.9,82,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971014,0.2,19.8,89,3.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971015,0,19.8,74,10
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971016,0,20.3,78,7.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19971017,0,22.8,62,5.7
