Station,Time,Date,Rainfall (mm) (24 hours),Temp (º C),Rel Humidity (%),Wind Speed (m/s) 
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930408,0.6,24.3,46,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930409,0,19.4,60,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930410,0,18.8,57,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930411,0.6,15.3,78,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930412,30,16.8,77,3.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930413,0,13.7,87,7.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930414,0,19.7,50,3.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930415,0,24.8,37,1.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930416,0,19.1,80,2.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930417,0,20.1,61,8.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930418,0,18.2,68,5.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930419,0,18.6,67,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930420,0,21.5,57,2.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930421,0,26.8,35,2.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930422,0,31.2,30,1.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930423,0,25,58,1.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930424,0,20.1,87,4.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930425,0,19.2,94,3.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930426,1.2,17.6,91,5.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930427,0.6,16.5,90,4.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930428,0,17.7,69,5.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930429,0,17.9,69,4.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930430,0,18.1,68,2.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930501,0,21.1,58,3.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930502,22.8,17.6,81,2.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930503,1,19.1,83,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930504,0,20.6,72,1.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930505,0,18.9,65,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930506,0.4,17.9,70,5.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930507,0,17.9,55,6.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930508,0,17.3,67,3.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930509,0,18.2,66,5.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930510,0,19.2,64,2.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930511,0,22.8,31,4.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930512,0,20.3,61,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930513,5.2,21.6,44,2.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930514,0.2,18.5,55,4.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930515,0,18,60,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930516,0,19.9,62,6.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930517,0,17.7,79,2.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930518,0,17.6,74,2.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930519,0,16.1,83,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930520,0,18.6,77,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930521,0,17.6,67,5.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930522,0,16.9,80,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930523,0,16.8,60,5.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930524,0,18.6,57,2.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930525,24,13.4,87,7.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930526,2.8,18.5,43,6.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930527,13.8,21.2,40,7.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930528,4.4,15.4,62,6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930529,7.6,13.4,88,6.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930530,0,16.7,71,5.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930531,0,16.4,77,3.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930601,0,19.3,58,2.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930602,10.2,27.3,13,7.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930603,7.6,14.6,73,7.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930604,0,14.9,63,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930605,0,16.9,62,1.8
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930606,0,17.5,65,2.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930607,0,15.9,78,3.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930608,0,18.7,62,3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930609,0,17.1,65,2.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930610,0.2,20.1,36,4.3
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930611,32.2,15.3,59,7.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930612,54.2,13.7,87,6.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930613,0.6,16.1,82,4.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930614,0,18.4,69,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930615,0.8,23.2,34,2.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930616,0.2,15.6,59,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930617,0,14.9,66,5.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930618,0,14.6,77,4.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930619,0,17.6,53,4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930620,0,18.3,53,6.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930621,0,16.9,62,6.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930622,0,16.3,71,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930623,0,15.6,80,5.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930624,0,18.7,77,4.2
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930625,0,25.8,14,8.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930626,0,26.6,27,8.7
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930627,0.4,22.5,65,2.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930628,0.2,20.9,47,5.5
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930629,0,18.9,54,5.1
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930630,0,18,65,2.4
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930701,0,18.7,68,2.9
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930702,0,19,63,3.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930703,0,23.3,39,1.6
station [0014545 4] - PLETTENBERGBAAI   -34.0930 23.3280 139 m,1400,19930704,0,23.4,36,1.6
