KNYSNA  - station [0014123 3]   -34.0590 23.0910 54 m ,yyyymmdd,Rainfall (mm) (24 hours),Temp (§ C),Rel Humidity (%),Wind Speed (m/s) ,,,,KBDI,DF,FFDI
,19970101,0,20.7,69,3.5,,,,1.1277128987713603,5.641555773178545,1.7591222727353482
,19970102,0,20.4,60,1.3,,,,2.2079004980169543,5.730015415260898,2.0041159978025154
,19970103,0.2,21,68,4,,,,3.3654979495951243,5.815535612278208,1.976945829472516
,19970104,0,26.3,58,4.5,,,,5.470527038948173,5.947066905936063,3.5604525079298357
,19970105,2.8,28,56,2.1,,,,7.9614058881649825,5.979668536289166,3.3186815198723774
,19970106,0,25.3,80,2.3,,,,9.807563043477277,6.126212425537031,1.37857777172732
,19970107,0,26.7,70,1.9,,,,11.933363387339824,6.172657454131133,1.9880036586155008
,19970108,5.6,24.5,67,3.2,,,,13.069528381101525,4.071804393417135,1.5145953393439786
,19970109,0.8,22.2,54,5.9,,,,13.534899945157044,4.829034878092538,3.2599094009549914
,19970110,2.8,20.7,66,3.3,,,,11.787497286587197,6.096111425006817,2.070832733096619
,19970111,0,21.4,60,2.1,,,,12.94509308483374,6.186062230088693,2.3916416932025584
,19970112,0,25,55,2.5,,,,14.68601737703584,6.196891647765544,3.3253747619264655
,19970113,0,23.6,75,3,,,,16.16143364335007,6.194735677603292,1.6587079064360808
,19970114,0,25.8,65,2.1,,,,18.028657255359345,6.178343156133909,2.332563008302763
,19970115,0.2,25.4,72,3,,,,19.798803439324793,6.149983802440465,1.9410378141804565
,19970116,1.6,24.5,60,3.1,,,,21.38686211457048,6.24785206595642,2.9177414041024576
,19970117,0,21.4,63,2.7,,,,22.486404315308054,6.326350118697661,2.3190491320639572
,19970118,0,30.3,44,1.9,,,,25.364402444226087,6.52482700537626,5.815778373192406
,19970119,1.8,23.9,64,3.1,,,,26.804296032361822,6.6204788088746955,2.637170851786706
,19970120,0,21.2,72,1.5,,,,27.845431596974883,6.688183610609174,1.612369859954791
,19970121,0.8,22.1,76,3,,,,28.99873510055703,6.761791743379154,1.6607816142599792
,19970122,0.2,21.9,67,2.4,,,,30.117528841349824,6.831833406099424,2.1611825364380737
,19970123,0,26.6,47,2,,,,31.999987013116414,6.946742150478038,4.964350278356799
,19970124,0,24.2,63,2,,,,33.43364357846573,7.031857534730451,2.6676080766712036
,19970125,0,28.9,46,2,,,,35.77992891324217,7.166860520218581,5.727687066677508
,19970126,0.8,19.7,72,3.4,,,,36.59850956772072,7.212747013387316,1.9378653095452518
,19970127,0,22.8,55,2.5,,,,37.78800176869744,7.278340557512137,3.6182349852778484
,19970128,0,27,59,2.8,,,,39.66485933500369,7.379295583521787,3.776563800946631
,19970129,0,24.9,66,2,,,,41.14492514720601,7.456781858682224,2.609744971032583
,19970130,0,24.9,66,2.6,,,,42.61159570503338,7.531779866906515,2.7722904521487943
,19970131,10.6,22.9,73,2.6,,,,38.25152433300235,2.203831011612226,0.605086310962196
,19970201,0,23,48,4.1,,,,39.45679768238919,3.0876944000112907,2.276636930310656
,19970202,0,23.3,62,2,,,,40.69524572201166,6.124231276659534,2.3369838176183775
,19970203,0,28,63,2.6,,,,42.74238441745515,7.391446808136818,3.351441226220972
,19970204,0,21.5,81,3.9,,,,43.72459330472466,7.587539152244101,1.6554053476906752
,19970205,0,25,67,2.6,,,,45.18387030328538,7.659180226364413,2.7322060889977697
,19970206,2.4,23.9,76,5.3,,,,46.46329025688025,7.720659100194463,2.4418799648964686
,19970207,0,20.3,78,0,,,,47.29065012619393,7.7597689677538675,1.2977128369818887
,19970208,0,22.6,74,2.3,,,,48.3781837540674,7.810421884162198,1.9670150579408257
,19970209,0,26.8,72,2.4,,,,50.09813973050523,7.888821917478239,2.4738092827098086
,19970210,4.2,28.5,69,4.8,,,,52.12904985710704,6.916817552215033,3.123997800980023
,19970211,8,22.2,82,2,,,,46.01446936108236,1.848580727727833,0.3462542022141423
,19970212,9.6,19.5,74,3.4,,,,37.163316651372206,0.7116451146596898,0.18266699948698695
,19970213,1.6,20.3,67,2.5,,,,36.43976792345608,1.0652590389768197,0.3298172206617523
,19970214,0,23.1,60,2.2,,,,37.672406905025134,3.2775294353182325,1.3646703931706636
,19970215,0.2,28.5,45,1.9,,,,39.86814550974795,5.144691944635646,4.18152127594986
,19970216,6,22.2,69,2.9,,,,39.83516476771668,4.73780424715124,1.4809066634988377
,19970217,1.8,20.8,73,1.7,,,,38.95311843954162,5.669164200247269,1.3276113339195428
,19970218,4,23.5,68,3.2,,,,36.22407022180137,6.638477956101225,2.2916920221066235
,19970219,0,24.3,59,2.6,,,,37.638065141989294,7.246789726481345,3.3295011685861473
,19970220,0,24.7,65,3.7,,,,39.10378101639975,7.349435929168373,3.052279352361774
