KNYSNA  - station [0014123 3]   -34.0590 23.0910 54 m ,yyyymmdd,Rainfall (mm) (24 hours),Temp (§ C),Rel Humidity (%),Wind Speed (m/s) ,,,,KBDI,DF,FFDI
,19970221,0.6,26.1,63,2.8,,,,40.795721218812496,7.4386652677847875,3.2165315646933363
,19970222,0,19.2,78,4.1,,,,41.53957111674155,7.477134651374631,1.7026515746350974
,19970223,0,22.1,57,3.1,,,,42.602808537469265,7.531335724379969,3.588002540697128
,19970224,0,25,48,2.1,,,,44.072350408477185,7.6047612255262855,5.010078781753292
,19970225,22,21.9,81,1.4,,,,28.17433505625131,0.6610565302748478,0.12224453771302873
,19970226,0.2,19,55,2.1,,,,28.755004674212273,0.9983068530301685,0.4330416475712472
,19970227,0,20.1,50,1.8,,,,29.652807405278107,3.081632577165529,1.5840545341947525
,19970228,0,22,55,3.2,,,,30.780753450648103,4.835677456699676,2.4951482312080917
,19970301,0,24.4,59,3.8,,,,32.25721004695811,5.978686832698085,3.0569983979699966
,19970302,0,22.1,77,3.8,,,,33.381497371550836,6.688359527650528,1.6979183823687338
,19970303,13.4,20.4,83,2.8,,,,25.9692707396516,1.4151954772336914,0.2586685850367335
,19970304,0,18.6,62,0,,,,26.71836807621424,2.060991855251597,0.5749990416204153
,19970305,5.2,22.4,70,2.3,,,,27.80090525004944,4.839209566196452,1.3983218052426216
,19970306,0,20.8,82,1.6,,,,28.786479916908164,5.909451403927839,1.0054437572791406
,19970307,0,26.5,59,2.3,,,,30.663344743323236,6.86552635185958,3.3153633432181486
,19970308,0.4,22.3,70,2,,,,31.825252899008916,6.936228289351141,1.9385639697587977
,19970309,0,25,54,3.2,,,,33.393414609713915,7.029496773703775,4.134964753779547
,19970310,0,21.6,68,2.2,,,,34.44546717742434,7.090719308944951,2.108291158153498
,19970311,0,19.5,51,4.2,,,,35.24943032921477,7.136791829442538,4.204982403499282
,19970312,0,23.2,50,2.4,,,,36.50522097681569,7.207548623764266,4.2799246388042995
,19970313,0,21.7,70,2.3,,,,37.55048755560362,7.265344439455237,2.039478999977985
,19970314,0.2,28,59,2.4,,,,39.637242052805455,7.377832148392038,3.7762172881456837
,19970315,1.4,23.3,76,2.3,,,,40.87432532751776,7.442752055968655,1.7924541818965012
,19970316,11.6,29,49,2.1,,,,35.02081927279447,1.886470249061204,1.3996293800625927
,19970317,0,26,63,2.2,,,,36.73633337901183,2.6978723184248588,1.1200088511411688
,19970318,3.4,26.5,63,2.1,,,,38.527649789621364,5.733896744786664,2.3772477254680675
,19970319,56.6,21.3,83,4,,,,0.0,0.1053745663072833,0.022721725173091806
,19970320,2.6,21.9,74,2.9,,,,0.0,0.14589224075297333,0.03974781948250123
,19970321,0,23.3,56,2.5,,,,1.5368738249247134,0.5287103372618527,0.2672041532559671
,19970322,0,23.4,69,2.3,,,,3.0796621224075875,1.1257176183533157,0.35494246485861797
,19970323,0,21.7,70,3.3,,,,4.334525064996215,1.8299147292811528,0.5689362148947252
,19970324,0,22.2,68,2.8,,,,5.658030523708478,2.546369736655167,0.8235732361434163
,19970325,0,20.1,88,1.4,,,,6.674704687187448,3.1940818191390044,0.42769966409658977
,19970326,0,23.4,60,3.1,,,,8.178186912811336,3.7890893582115406,1.7160399155511472
,19970327,0,25,60,1.9,,,,9.962730698923375,4.324346505822476,1.8653129100151034
,19970328,0,22.3,75,2,,,,11.264042346870498,4.759140030186337,1.1248540520574741
,19970329,0,23.2,72,3.1,,,,12.6991752019218,5.142452105170804,1.5230171265993582
,19970330,4.2,19.5,79,3.7,,,,13.606739822330322,5.267601063682755,1.1370188094198816
,19970331,0,20.2,65,4,,,,14.594966857782255,5.703164650269829,2.093327964838692
,19970401,0,22.6,66,3.8,,,,15.910566698935932,5.9563295347446665,2.2510476145216964
,19970402,9.6,18.6,83,1.5,,,,12.182178944948074,2.0317454586466432,0.3117252144027201
,19970403,22,17.7,92,3.5,,,,0.0,0.26182698340053295,0.03472125464361665
,19970404,0,22,72,2,,,,1.3206703778517586,0.40538696550723075,0.10861474083884706
,19970405,34.8,19,68,3.1,,,,0.0,0.22696023038702662,0.06972400982837049
,19970406,11,12.9,85,7.6,,,,0.0,0.22723772976691325,0.04616171517952427
,19970407,1.8,13.8,91,3.3,,,,0.0,0.8043826083112979,0.09378304293019095
,19970408,0,19.6,68,2.5,,,,0.9807378747616273,1.6171043745899134,0.46983017691549067
,19970409,0,19.3,83,1.5,,,,1.9192350007347747,2.4524356159429517,0.384337878508929
,19970410,0,24.4,61,1.6,,,,3.642837899721033,3.2379306701438426,1.2940948283362392
,19970411,0,22.8,70,1.6,,,,5.067625201151671,3.8862122769745535,1.0761173331018177
,19970412,0,25.7,60,1.7,,,,7.024341432696023,4.460201288472618,1.9362857127346955
,19970413,0,22.8,65,3,,,,8.424985660318544,4.902663917182423,1.8096234251621641
,19970414,0,22.6,69,2.3,,,,9.783623728756345,5.270036732326282,1.5851991210254577
,19970415,0,23.9,70,1.6,,,,11.349671268513214,5.59876754829691,1.601442153173956
,19970416,0,18.5,80,2.9,,,,12.149598135118113,5.826317210918932,1.096603064706678
,19970417,0,19.8,69,2.8,,,,13.095842248255055,6.033233149069827,1.7188879573786218
,19970418,0,18.9,71,2.2,,,,13.932516719276434,6.194046463617351,1.518430312156156
,19970419,0,19.8,74,1.8,,,,14.869930302888212,6.1971722699638425,1.365333980065636
,19970420,0,20.4,69,1.6,,,,15.876658186113332,6.195922637913367,1.6276414903368328
,19970421,0,22.9,67,1.9,,,,17.229693032001983,6.187141127044768,1.9435265972670783
,19970422,0,18.2,77,3.2,,,,17.973774733350158,6.17902998662507,1.3084737514146172
,19970423,0.2,19.4,73,6.8,,,,18.844759131612687,6.166738511710186,2.114292123795793
,19970424,0,19.2,69,3.7,,,,19.68914961277359,6.152078520129668,1.8523718631215005
,19970425,0,21.6,62,1.7,,,,20.826108234895734,6.207231540142185,2.1801983861816887
,19970426,0,17.3,82,2.4,,,,21.468327186459625,6.2537200690511385,1.0104627394661103
,19970427,6.6,16.4,73,5.2,,,,20.507720356526598,3.69020124580608,1.0057387261134751
,19970428,3.8,13.7,84,3.2,,,,17.062077218012952,2.6569862557263564,0.38376080353193054
,19970429,0,18.1,55,3,,,,17.796559000577936,5.205257765864797,2.312596002725187
,19970430,0,22.1,49,1.9,,,,19.015953739067854,6.163980050137602,3.507005244687066
,19970501,0,20.2,69,3.1,,,,19.97598604107803,6.146508473747612,1.8199861275023115
,19970502,23.4,19.6,71,4.4,,,,2.540310500011927,0.43630529037260524,0.1364431106707736
,19970503,0.6,18,79,2.1,,,,2.7211183571028412,0.6592560334528831,0.12144719031369963
,19970504,0,20.6,64,2.5,,,,3.8199629773096215,2.115026933242722,0.7271349805960606
,19970505,0,20.9,63,3.8,,,,4.954220488161576,3.4444021360996944,1.3727990669657726
,19970506,0,22.7,69,0,,,,6.353285471407092,4.387631378845393,1.0935972030704861
,19970507,0,19.4,70,2.8,,,,7.278912590120026,4.994192323094841,1.3594868309846062
,19970508,0,23.3,61,1.5,,,,8.760733411926282,5.461569643590986,2.0713754154538804
,19970509,0,26.1,48,1.2,,,,10.765530439582896,5.862905644674841,3.7287315762723545
,19970510,0,18.7,77,1.6,,,,11.589981937306113,6.0968929759408015,1.147710792166153
,19970511,0,23.8,63,1.2,,,,13.123994487468535,6.187875729073165,2.1685816502444095
,19970512,0,23.7,61,1.3,,,,14.628606375521418,6.196771169943512,2.3385596110602727
,19970513,0,19.1,79,4,,,,15.480951554237173,6.196968201990487,1.350580595972018
,19970514,5.2,21.4,57,4.6,,,,16.496210634240974,4.566939539430265,2.42679028353122
,19970515,0,20.5,62,3.1,,,,17.506843521473147,5.334410413306485,2.035222658657889
,19970516,0,27.9,37,1.6,,,,19.82194344179821,6.149536262763636,6.2790265364007745
,19970517,0,23.2,59,1.3,,,,21.193087635309574,6.233860503374133,2.4781815356283508
,19970518,0,23.3,49,2,,,,22.569670605627778,6.3322332783960205,3.782278759095568
,19970519,0,21.4,63,0,,,,23.662059594741404,6.408628931264667,1.8709814705630117
,19970520,0,18.5,48,2.8,,,,24.410649514053357,6.460148607243261,3.6317623347278323
,19970521,0,21.3,51,1.3,,,,25.478852113484365,6.532516953010635,3.2075044153336183
,19970522,0,19.5,72,2.4,,,,26.325533099202698,6.588937226814989,1.6181849965136323
,19970523,3,29.3,29,3.4,,,,28.87182588108596,6.7537624450658225,11.074793085024352
,19970524,0,16.8,82,2.5,,,,29.442027609292378,6.789702721911137,1.0866439986511673
,19970525,5.8,17.7,83,1.2,,,,29.370137446169434,4.604014019986528,0.6610496328845062
,19970526,34.6,21.3,60,4.5,,,,0.0,0.18269131099333794,0.0902031663237262
,19970527,41.6,12.1,86,6.4,,,,0.0,0.06994749795786523,0.012263020206512288
,19970528,3.6,13.5,76,4.2,,,,0.0,0.09555972597904214,0.020522681418841532
,19970529,0,17.6,50,2.2,,,,0.7471952957382797,0.32990618968520435,0.16593229291177589
,19970530,0,18.7,60,1.4,,,,1.6145685809817032,0.7063942447485619,0.24173334672706293
,19970531,0,22.2,48,1.2,,,,2.9561761122393877,1.202164490739804,0.684083869315297
,19970601,3,18.7,67,1.7,,,,3.81408540931704,1.7472976171727255,0.4760324005518195
,19970602,0.6,17.1,71,1.4,,,,4.495962960641373,2.2929842647584127,0.5008889887841641
,19970603,0,20.1,56,1.1,,,,5.5186178484733475,2.827108037828406,1.1150900557475085
,19970604,0,18.2,63,3.9,,,,6.3095564749363255,3.3070355343834614,1.2139101536525845
,19970605,0,20.2,69,0,,,,7.335819007324103,3.750881806093296,0.8608906885738726
,19970606,0,19.3,52,4.1,,,,8.244822279370801,4.139626096851614,2.3373288925460334
,19970607,0,19.3,68,0,,,,9.149606878332897,4.483660045221664,1.0308886032265063
,19970608,3,16.3,74,2.4,,,,9.7377717637407,4.766551975634226,0.9847034652703329
,19970609,16.6,14,79,3.5,,,,0.0,0.5451322025973117,0.09894884204969996
,19970610,0.6,15.6,75,1.4,,,,0.0,0.8161780979203898,0.14962562843591817
,19970611,22.2,12.4,89,1.4,,,,0.0,0.44871716563811775,0.04590222825852771
,19970612,17.2,14.3,86,1.2,,,,0.0,0.28325778190025247,0.03389714276030091
,19970613,0,15.3,75,1.7,,,,0.5245872385803768,1.0070860816749185,0.18692729766202185
,19970614,8.8,17.5,65,4.6,,,,0.0,1.8637324703440663,0.666402662139768
,19970615,0.4,15.8,78,6.3,,,,0.16924370340766004,2.4979870322555637,0.6190823940309131
,19970616,0,19.5,56,1.4,,,,1.1365021468547294,3.4314845272205887,1.3568247756007463
,19970617,0.8,13.7,67,3.6,,,,1.5284321564858367,3.948765977318872,1.0549781536853113
,19970618,0,15.6,52,3.2,,,,2.0754328755882128,4.354198334256519,2.009751068427948
,19970619,0,16.7,49,1.8,,,,2.7234636414267763,4.679778324717147,2.2076479288876567
,19970620,0,17.9,62,0,,,,3.4926889816834557,4.95396764946276,1.3344957791793581
,19970621,0,28.1,23,2.2,,,,6.034687062347922,5.3492700282289425,9.392531079489615
,19970622,0,17.7,66,4.1,,,,6.7701052825749715,5.543615539604075,1.822435299060017
,19970623,0,17,50,1.7,,,,7.432029700607701,5.705956714030028,2.598218995590546
,19970624,0,17.8,56,1.9,,,,8.172666286153344,5.856418468196615,2.264611944576223
,19970625,0,16.4,60,4.8,,,,8.772985189109974,5.9792689573961155,2.4519156452588673
,19970626,0.4,17.4,61,1.4,,,,9.46765116262881,6.0991605990630795,1.8763874714548905
,19970627,1.2,22.5,49,1.5,,,,10.803306606757559,6.151142450031429,3.4298918071818942
,19970628,8.6,14.5,78,1.8,,,,6.116084441535069,2.169149957042203,0.3528007555555201
,19970629,0.2,13.3,69,5.9,,,,6.269396584593893,2.8874346749665047,0.8657031975947983
,19970630,0,14.4,67,0,,,,6.704512159021519,4.923191653255863,0.9916379276232994
,19970701,0.2,17.6,57,1.8,,,,7.427054010146408,5.6462902420324275,2.078517568527857
,19970702,0.2,16.7,60,5.3,,,,8.057841655505511,5.978575747016549,2.5831644540845176
,19970703,0,16.9,75,3.2,,,,8.705732546476058,6.091832301086722,1.3229892395079739
,19970704,6.2,14.5,68,6.6,,,,8.023228672114413,3.394580988609444,1.1612803767592519
,19970705,0.2,14.4,64,4.9,,,,8.254469177644793,4.1345743763262455,1.3987452359262353
,19970706,0,16.4,65,1.8,,,,8.854536280911894,5.7005978903474155,1.5288912800164238
,19970707,0,21.1,51,1.2,,,,9.987673870802515,6.13114684025231,2.9675094614814372
,19970708,0,25.9,28,3.1,,,,11.937442926418116,6.172722439476164,9.117442522552691
,19970709,0,24,44,1.3,,,,13.503581970695723,6.19118225616374,4.243059565832755
,19970710,0,25.6,34,1.7,,,,15.356810860183685,6.197149479903512,6.547029550594258
,19970711,0,17.2,75,3,,,,16.00870987212827,6.1954170415707415,1.336196953615332
,19970712,0,18.8,71,1.8,,,,16.82158332071476,6.190618200423062,1.4623645474615552
,19970713,0,20.7,59,2,,,,17.855940331255177,6.180464018479671,2.395285473856058
,19970714,0,26.2,41,0,,,,19.78755394417834,6.150200683003797,4.513521151249117
,19970715,0,26.2,31,1.2,,,,21.69903671958614,6.2702927974615825,7.186846876240045
,19970716,12.6,18.6,71,4,,,,14.946182963041398,1.3955499251131924,0.40181760130098276
,19970717,11.8,13.2,91,0,,,,3.4768999047401383,0.6275002742673548,0.054467785429432265
,19970718,0,18.9,67,2.7,,,,4.355908660251788,2.033756781249367,0.6056647845218049
,19970719,4.6,19.7,68,0,,,,5.328133348555342,3.3552669622854596,0.7849004471850627
,19970720,14.8,16.9,75,3,,,,0.0,0.5539780128165729,0.12204506626239935
,19970721,0,16.6,81,1.9,,,,0.6448849800900492,0.8408825005393067,0.13516389244745725
,19970722,0,18.3,76,2.8,,,,1.4665984314281788,2.4801677022124857,0.5336992077848127
,19970723,0,19.1,60,1.2,,,,2.378436059119027,3.7407180389215804,1.2484991551046631
,19970724,3,15.7,74,3.5,,,,2.93203492777995,4.491628088956322,0.9983350094460053
,19970725,0,16,53,6.6,,,,3.5112159538589025,4.957036958636961,2.978526899129224
,19970726,0,15.7,61,1.9,,,,4.0616921216710535,5.264943918044987,1.5981388889885526
,19970727,4,16.1,59,4,,,,4.646749647184711,4.75462609563308,1.8731784703784755
,19970728,0.2,14.8,74,1.8,,,,5.117573315040071,5.191826973590606,0.9682090254193576
,19970729,0,19.2,54,2.6,,,,6.024837544633848,5.827085962832941,2.685147065845103
,19970730,0,21.8,42,1.5,,,,7.276140468683982,6.013735787022787,4.170645129743495
,19970731,0,22,37,1.6,,,,8.549520574970389,6.086364589864152,5.091657795682297
,19970801,3.4,25.5,49,1.1,,,,10.43062585908776,5.7321868595610495,3.4233137918827397
,19970802,0,16.7,55,6.1,,,,11.051735885281042,6.071590303874155,3.333906294893629
,19970803,1.6,21.2,55,1.5,,,,12.185847357095568,6.176510768243108,2.6795554297111956
,19970804,1,14.9,78,1.5,,,,12.646690054551891,6.182668950598554,0.9803893181526582
,19970805,11.6,13.5,89,4.9,,,,3.8821721321715703,1.341880509623187,0.1886187004203104
,19970806,11.2,21.4,40,7.2,,,,0.0,0.6478502441579304,0.7902094127714876
,19970807,0,15.6,54,2.3,,,,0.5511463381285827,2.0397096150532175,0.8226044083495114
,19970808,0,18.6,54,4.4,,,,1.4076779180025447,3.2797786151879986,1.7364069696519042
,19970809,0,16.8,67,2.4,,,,2.0677108207245873,4.106100501115712,1.1005112187591373
,19970810,2,16.4,71,6.1,,,,2.686821551974284,4.641502060958153,1.4577785268219845
,19970811,0,16.9,68,2,,,,3.352544750580552,5.011052551946173,1.2555098763066306
,19970812,0,20.3,42,1.9,,,,4.407471606763904,5.319062352651967,3.6324718152431834
,19970813,0,18.3,65,2.7,,,,5.213921222169483,5.5424212236899395,1.7105330053644756
,19970814,0,18.8,75,2.4,,,,6.073670767772345,5.731941886903395,1.2418706670527575
,19970815,0,22.8,68,1.2,,,,7.481102541764889,5.9479125200585905,1.6967861764864303
,19970816,0,17.1,81,2.4,,,,8.150439304197132,6.071714052539364,1.0090373872462468
,19970817,0,19.6,58,4.5,,,,9.091839361431338,6.104709175096136,2.9131933880894
,19970818,0,19.7,75,0,,,,10.040908276190109,6.132568991617358,1.1180028781402462
,19970819,22,21,59,2.1,,,,0.0,0.4550794076086386,0.1858719117700909
,19970820,0.2,16.4,72,2.5,,,,0.42547540776909293,0.6907230966503266,0.15863665634790222
,19970821,0,20,54,8.4,,,,1.455867390721646,2.1653730807481777,1.692678433299501
,19970822,0.2,19.8,66,4.9,,,,2.4550759554670862,3.440228190281742,1.3068752633121905
,19970823,0.2,16.8,71,1.3,,,,3.1116829737955087,4.265453241087805,0.9072751573483828
,19970824,0,23.7,64,1.2,,,,4.695550751563351,4.879424400883469,1.6515547028326616
,19970825,12.2,18.1,76,3.3,,,,0.0,1.1468426569520036,0.25824427670671857
,19970826,22.6,14.1,89,3.8,,,,0.0,0.22696023038702662,0.030368100514789664
,19970827,1,15.7,88,0,,,,0.0,0.34072494694896327,0.03597698979437377
,19970828,0,18.4,82,6,,,,0.8357395187318536,1.2033438607854006,0.2792089250075831
,19970829,0,21.1,47,2.6,,,,2.0156309657130276,2.2633270184284964,1.433427138208266
,19970830,0,20.5,57,1.9,,,,3.1046476398459073,3.202584900948963,1.3210541130245996
,19970831,2,16.9,80,6.4,,,,3.768983615318853,3.9083884937430637,0.9407363990758546
,19970901,0,19.5,74,1.9,,,,4.719092544635545,4.4565460801357695,0.9843737394769859
,19970902,0,25.7,38,1.9,,,,6.679250815911772,4.961797361636221,4.673032611262882
,19970903,0.2,16.2,75,6.8,,,,7.265720712892835,5.265373663087393,1.5152740554517248
,19970904,0,18.8,56,2.8,,,,8.116560371039434,5.5283566043417744,2.3872001550525077
,19970905,0,19.2,73,2.1,,,,9.010088532641422,5.751129696254941,1.3193844908363348
,19970906,1.6,19,64,5.3,,,,9.876236728940622,5.939900623632375,2.416570974182865
,19970907,5.6,13.4,76,3.7,,,,8.10981680656041,3.7940346297061374,0.7421904404458655
,19970908,1,14.2,74,4.1,,,,7.525494151940883,4.431549455634688,0.9850003593205625
,19970909,0,18.5,56,1.9,,,,8.34136606298969,5.798426298979967,2.2961667642793198
,19970910,0,19,70,2.2,,,,9.210496972224579,6.108485474894649,1.5555485073968134
,19970911,0,21.9,62,3.6,,,,10.456379095366808,6.1431039870814015,2.5583487692941245
,19970912,0,28.5,59,1.2,,,,13.013140788817728,6.186771424888764,2.9175877976526228
,19970913,0,31,29,1.7,,,,16.261345736927407,6.194234234047163,9.333098234366647
,19970914,0,32.3,33,1.9,,,,19.89123907083888,6.148184640983999,8.576192061627033
,19970915,10.4,19.4,84,4.3,,,,15.43320702707343,1.8807468996616172,0.36296693709562794
,19970916,2,14.5,88,1.6,,,,13.855570346695814,2.020246155674344,0.22903251286519521
,19970917,0,18.6,66,3.7,,,,14.655868401881868,4.501638248140271,1.4790482819801671
,19970918,0,20.8,54,2.7,,,,15.715305566896285,5.713049309716285,2.8031178164445203
,19970919,0,18.5,71,3.8,,,,16.49702976380477,6.19287836294729,1.7138716970648251
,19970920,0,19.5,50,5.6,,,,17.386501032452344,6.185620062234722,4.252595403278522
,19970921,0,18.9,58,3.3,,,,18.20429172570128,6.176064917318067,2.6011968011177786
,19970922,0,23.8,46,2.3,,,,19.685350707315212,6.152150317566179,4.2525654016381775
,19970923,0,21.1,65,3.3,,,,20.755338879046906,6.202076511698534,2.2099719955117667
,19970924,0,22.2,63,1.9,,,,21.969559220639184,6.289640163336374,2.2145767278208393
,19970925,0,20,69,1.8,,,,22.890475660322778,6.354819816008743,1.6743967573242842
,19970926,0,25.6,49,2.9,,,,24.651999799932533,6.476616728563031,4.509268148796314
,19970927,0,20.3,62,2,,,,25.594494065340143,6.540271601654369,2.2531565664114686
,19970928,1.2,22.5,43,2.4,,,,26.818965674405305,6.6214411794823524,4.89425543926213
,19970929,1.8,19,67,1.5,,,,27.605680666899552,6.6726993256564375,1.7745685748305224
,19970930,5.6,22.5,58,2.9,,,,25.29628648457958,4.62598491558232,2.1355420939699883
,19971001,0.2,21.7,64,4,,,,26.211839155572754,5.495027681597064,2.197369226913425
,19971002,0,23.2,61,4.8,,,,27.535205176659737,6.668135601561736,3.319566019936845
,19971003,0,26.3,39,1.8,,,,29.38563390285185,6.786163644338905,6.222746983457307
,19971004,0,21.9,61,2.7,,,,30.501942816920927,6.855595356115143,2.7356101283031387
,19971005,4.2,16.4,84,2.2,,,,31.03352937074729,6.209658510578545,0.8932951013958214
,19971006,28.6,21.8,46,6.8,,,,4.406123414738708,0.27083170033184273,0.2662133690199346
,19971007,0.6,14.2,68,4.4,,,,4.229692194798338,0.4058527408642663,0.11738704014794969
,19971008,0,16.2,61,2.6,,,,4.823472222633971,1.4097799696734654,0.46963484374073544
,19971009,0,19.1,62,3.6,,,,5.720136736648895,2.5804113376955042,0.9886812103571991
,19971010,0,25.8,39,1.6,,,,7.691596798412688,3.6326000242125813,3.2467370262546926
,19971011,0,18.9,60,6,,,,8.552056094850254,4.384261782663491,2.173229185256333
,19971012,0,18.4,54,2.3,,,,9.352621936195897,4.9314081388835005,2.1612799916677465
,19971013,0,22.8,56,2.7,,,,10.736642834138634,5.38379092205284,2.6399073796835757
,19971014,1.8,21.2,76,2.1,,,,11.872614071096686,5.724796611681809,1.2671061922195614
,19971015,0,21,62,5,,,,12.974548400441936,5.999291100495396,2.7278047254249045
,19971016,0,24.8,52,4.4,,,,14.677309434540602,6.196874383642104,4.298970727678593
,19971017,0,30.5,29,4.6,,,,17.740440021377207,6.181815564719474,11.692904834660565
,19971018,0,31.1,31,3.6,,,,20.93954602724901,6.2154812552951935,10.29216345422868
,19971019,0,33.7,21,1.9,,,,24.99520840683394,6.499916759966405,14.371100630546815
,19971020,0,21.7,73,2.1,,,,26.112649000497022,6.574828572237748,1.6384938816851269
,19971021,0,21.4,68,3.6,,,,27.18361129676123,6.645285382225587,2.210056364312544
,19971022,14,22.3,57,2.2,,,,19.448952911645236,1.2448126135479087,0.5665745457449042
,19971023,0.2,18.5,61,3.8,,,,20.01510953125927,1.822581673439439,0.7236191046698798
,19971024,0,19.3,59,2,,,,20.865268370826918,4.40677350817997,1.6361225033353435
,19971025,0,21.7,71,2.3,,,,22.008605926094514,5.819595621307426,1.5827976706983602
,19971026,0.4,15.1,92,5.4,,,,22.460928629626316,6.324548428074949,0.8649220563027458
,19971027,0,20,67,2.3,,,,23.379348192048298,6.388996986637166,1.8811192882304666
,19971028,0,24.9,44,3.4,,,,25.006805128744798,6.500701633899864,5.478100757672499
,19971029,0,33.9,29,1.6,,,,29.049301458305514,6.764986161617023,11.135726171298352
,19971030,0.2,21.2,71,1.8,,,,30.077186388469293,6.829330751455618,1.7473317600885463
,19971031,0.2,33.6,39,1.5,,,,33.89243906512789,7.058669836961497,8.073107447571033
,19971101,0,24.9,70,2.3,,,,35.424747850066005,7.146757875712115,2.2358275454263676
,19971102,1.2,23,74,1.4,,,,36.65067636674541,7.215650486564912,1.7092321691015486
