Station,Time,Date,Rainfall (mm) (24 hours),Temp (? C),Rel Humidity (%),Wind Speed (m/s) 
George WO/WK,1400,19440429,0,30,16,3.2
George WO/WK,1400,19440430,0,27.4,31,3.2
George WO/WK,1400,19440501,0,17.4,68,0
George WO/WK,1400,19440502,0,16.7,73,0
George WO/WK,1400,19440503,0,20.3,66,0
George WO/WK,1400,19440504,0,28.4,38,0
George WO/WK,1400,19440505,0,24.9,40,0
George WO/WK,1400,19440506,0.8,19.9,66,2.1
George WO/WK,1400,19440507,0,17.3,78,0
George WO/WK,1400,19440508,0,26.8,29,2.1
George WO/WK,1400,19440509,9.1,19.8,60,1.5
George WO/WK,1400,19440510,2,17.1,72,2.1
George WO/WK,1400,19440511,24.1,14,93,2.1
George WO/WK,1400,19440512,40.6,6.4,91,2.6
George WO/WK,1400,19440513,0,13.7,71,2.1
George WO/WK,1400,19440514,0,15.9,70,0
George WO/WK,1400,19440515,0,18.3,54,0
George WO/WK,1400,19440516,0,16.7,78,1.5
George WO/WK,1400,19440517,0,25.1,23,0
George WO/WK,1400,19440518,0,25.2,25,0
George WO/WK,1400,19440519,0,25.6,15,0
George WO/WK,1400,19440520,0.5,15.9,90,0
George WO/WK,1400,19440521,0,16.1,53,2.6
George WO/WK,1400,19440522,6.3,13.8,90,1.5
George WO/WK,1400,19440523,0,15.6,78,2.1
George WO/WK,1400,19440524,0,20.2,56,0
George WO/WK,1400,19440525,0,18.7,69,0
George WO/WK,1400,19440526,1.3,20.6,59,0
George WO/WK,1400,19440527,18.3,14.6,87,0
George WO/WK,1400,19440528,0.8,14.9,77,2.1
George WO/WK,1400,19440529,0,16.7,75,0
George WO/WK,1400,19440530,0,20.6,48,0
George WO/WK,1400,19440531,0,22.3,41,1.5
George WO/WK,1400,19440601,0,26.6,27,0
George WO/WK,1400,19440602,4.3,18.7,53,0
George WO/WK,1400,19440603,5.6,15,55,2.6
George WO/WK,1400,19440604,0.3,20,42,1.5
George WO/WK,1400,19440605,0,16.3,55,2.1
George WO/WK,1400,19440606,1.3,16.7,49,2.1
George WO/WK,1400,19440607,0,13.8,49,0
George WO/WK,1400,19440608,0,13.7,64,2.1
George WO/WK,1400,19440609,0,15,62,0
George WO/WK,1400,19440610,0,18.3,28,0
George WO/WK,1400,19440611,10.7,9.4,96,2.1
George WO/WK,1400,19440612,0,12.1,76,0
George WO/WK,1400,19440613,0,12.4,68,1.5
